donor_id	DRG_ID	module_id	program	S_delta	U_delta	D_delta
sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	original_severity	P4	0.030588680619971893	-0.032545208356494715	-0.06313388897646655
sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	original_xenium	P5	-0.05470492359230463	-0.03749867771396004	0.017206245878344517
sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	severity_neuron_residual	P10	0.038847334212960584	-0.03303404995483483	-0.07188138416779544
sub-UTD-DN0003	sam-UTD-DN0003-DRG	late_allcell_residual	P8	0.03810994689093948	0.012866534267031104	-0.025243412623908446
sub-UTD-DN0003	sam-UTD-DN0003-DRG	late_neuron_residual	P7	-0.01376509517815592	-0.0014895527673404185	0.012275542410815521
sub-UTD-DN0003	sam-UTD-DN0003-DRG	late_shared_concordant_neuronal_core	P6	0.03658832592028091	0.017893739538956815	-0.018694586381324152
sub-UTD-DN0003	sam-UTD-DN0003-DRG	original_early_allcell	P1	-0.0008582914566226379	0.007785050784017616	0.008643342240640284
sub-UTD-DN0003	sam-UTD-DN0003-DRG	original_late_allcell	P2	0.038167710959125765	0.013192386878661116	-0.024975324080464656
sub-UTD-DN0003	sam-UTD-DN0003-DRG	original_late_neuron	P3	0.001045770221041286	0.005345962749802202	0.004300192528761015
sub-UTD-DN0003	sam-UTD-DN0003-DRG	original_severity	P4	0.020533378962442436	-0.023213252781402682	-0.04374663174384508
sub-UTD-DN0003	sam-UTD-DN0003-DRG	original_xenium	P5	-0.031618105904168976	-0.030404737924016267	0.0012133679801528408
sub-UTD-DN0003	sam-UTD-DN0003-DRG	severity_neuron_residual	P10	0.030233499632346124	-0.0206875090725242	-0.05092100870487043
sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	late_allcell_residual	P8	0.02488106096720144	0.010472108030155561	-0.01440895293704588
sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	late_neuron_residual	P7	-0.008301934805243726	-0.0026609550946739002	0.00564097971056976
sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	late_shared_concordant_neuronal_core	P6	0.009490049628752455	0.007723158892432118	-0.0017668907363203035
sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_early_allcell	P1	0.007561903684126302	0.006885067979570225	-0.0006768357045560484
sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_late_allcell	P2	0.024044022496192825	0.01027357024279115	-0.01377045225340164
sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_late_neuron	P3	-0.0026301205819970856	0.0014169994673221737	0.004047120049319212
sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_severity	P4	0.0265750563224008	-0.01155640358141774	-0.0381314599038185
sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	original_xenium	P5	-0.01253934750806166	-0.006767929592115585	0.00577141791594606
sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	severity_neuron_residual	P10	0.029915476932750814	-0.012898184409132632	-0.042813661341883434
sub-UTD-DN0106	sam-UTD-DN0106-DRGL	late_allcell_residual	P8	0.026051454117888014	0.011174812949670515	-0.014876641168217464
sub-UTD-DN0106	sam-UTD-DN0106-DRGL	late_neuron_residual	P7	-0.011027306457357715	-0.005540044774420605	0.005487261682937006
sub-UTD-DN0106	sam-UTD-DN0106-DRGL	late_shared_concordant_neuronal_core	P6	0.012550351522558328	0.010400498017228754	-0.002149853505329591
sub-UTD-DN0106	sam-UTD-DN0106-DRGL	original_early_allcell	P1	0.006659191912041764	0.006648676600240239	-1.051531180157328e-05
sub-UTD-DN0106	sam-UTD-DN0106-DRGL	original_late_allcell	P2	0.025088865796951444	0.01095209438055994	-0.014136771416391414
sub-UTD-DN0106	sam-UTD-DN0106-DRGL	original_late_neuron	P3	-0.0026284488694718246	0.000985770216118731	0.0036142190855905643
sub-UTD-DN0106	sam-UTD-DN0106-DRGL	original_severity	P4	0.03037834063592441	-0.010145815645268952	-0.04052415628119327
sub-UTD-DN0106	sam-UTD-DN0106-DRGL	original_xenium	P5	-0.035082001794822	-0.021634433651879892	0.013447568142942179
sub-UTD-DN0106	sam-UTD-DN0106-DRGL	severity_neuron_residual	P10	0.03371687653336845	-0.011085074693859498	-0.04480195122722791
sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	late_allcell_residual	P8	0.026038751929813166	0.010899219466975493	-0.015139532462837687
sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	late_neuron_residual	P7	-0.0037509279808539825	0.0009843204767852425	0.004735248457639211
sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	late_shared_concordant_neuronal_core	P6	0.015640818950790194	0.010234231653495704	-0.005406587297294596
sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_early_allcell	P1	0.0031059158965005378	0.006341547932539271	0.003235632036038679
sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_late_allcell	P2	0.025512288867995253	0.010817349031935153	-0.014694939836060109
sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_late_neuron	P3	0.0021064684540471005	0.004740484390655109	0.0026340159366079843
sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_severity	P4	0.0207305883497105	-0.013890624073185198	-0.034621212422895654
sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_xenium	P5	-0.013535284369808625	-0.007721088613388938	0.005814195756419708
sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	severity_neuron_residual	P10	0.024684743064928474	-0.013955909255353616	-0.03864065232028213
